-15,-1,121374
-9,-3771,121849
-1,-3085,122278
-2062,-223767,122571
-3081,-223578,122782
-3073,-2537,122707
-2058,-223861,122623
-2091,-224322,122118
-2049,-3880,122041
-9,-14,121899
-1,-9,131071
-9,-1,122035
-3892,-227344,121826
-3585,-2175,121838
-3421,-227731,122085
-3081,-227798,122067
-3854,-227756,122484
-1,-2275,122931
-485,-227326,122879
-1,-9,122796
-9,-226489,122574
-12,-225848,122372
-2264,-225196,121960
-2058,-224839,121431
-3082,-224527,121281
-3154,-224073,121442
-2059,-224087,121448
-2063,-224081,121336
-13,-3132,121470
-1,-3128,121393
-1,-3585,121299
-9,-3919,121097
-3760,-225392,121193
-3073,-225231,121015
-2061,-225389,121233
-2060,-225297,121138
-2675,-225334,121270
-2769,-225412,121525
-2751,-225445,121315
-3088,-225352,121268
-3425,-225464,121416
-3853,-225559,121491
-1,-9,121233
-15,-1,121119
-1,-13,120914
-1703,-225825,119771
-1980,-225921,120393
-2235,-226235,121776
-9,-15,123501
-1493,-226717,123599
-1266,-226659,123915
-1277,-226698,123809
-1305,-226483,123285
-1168,-226435,122077
-1,-1,131071
-733,-225933,120635
-1,-1,121504
-16,-197282,122318
-13,-1,131071
-1,-9,122478
-3,-197890,122222
-1,-1,130035
-1,-2059,122074
-13,-227658,122322
-15,-227128,122471
-1,-1,122673
-16,-1,131058
-513,-225048,122454
-15,-2049,127203
-668,-223952,123077
-482,-224106,122969
-396,-224485,122868
-9,-3593,122871
-3793,-225220,122858
-3237,-225589,122834
1095,-225906,123244
1271,-226421,123396
1384,-226761,123325
1278,-226941,123274
990,-227055,123074
783,-226994,123273
617,-226885,123312
177,-226845,123146
48,-226638,122920
-204,-226070,122535
-16,-225687,122296
-1,-15,122285
-1,-4058,122227
-1,-3953,122269
-10,-225258,122018
-9,-1,131071
-1,-2,121785
-1,-1,131059
-4048,-226188,121902
-3585,-13,121679
-3564,-226528,121617
-3585,-1025,121712
-3585,-9,121875
-3082,-196621,121797
-3585,-1,121936
-3593,-225501,122072
-3855,-225134,122149
